Title,Name,Specialty,Academic,City
dr,Ana Blagojević,specijalizant anesteziologije,,
dr,Ana Borjanijašević,stomatolog,,
dr,Ana Čolić Ozmo,,,
dr,Ana Čoporda,"spec. Anestezije, reanimacije i intenzivne terapije",,
dr,Ana Čupić,,,
dr,Ana Didić Petrović,anesteziolog,,
dr,Ana Dimić,spec. pedijatrije,,
Prof. dr,Ana Đorđević Dikić,kardiolog,,
dr,Ana Gazikalović,spec. radiologije,,
dr,Ana Ivančov ,,,
dr,Ana Janjić,,,
dr,Ana Jevtović,,,
dr,Ana Jokić Miletić,,,
dr,Ana Jovanović,anesteziolog,,
dr,Ana Jovičić,,,
dr,Ana Karadžić,kardiolog,,
dr,Ana Kasap,spec. urgentne medicine,,
dr,Ana Kostić,,,
dr,Ana Krivokapić,ORL specijalizant zavrsne godine,,
dr,Ana Krivokapić,,,
dr,Ana Kuzmanović,specijalizantkinja psihijatrije,,
dr,Ana Ljubojević,,,
dr,Ana M Brkić,fizijatar,,
dr,Ana Mandras,specijalista anesteziologije sa reanimatologijom,,
dr,Ana Marić,,,
dr,Ana Meši,"stomatolog,spec.stomatološke protetike",,
dr,Ana Mladenović,,,
dr,Ana Movsesijan Lukić,stomatolog,,
dr,Ana Munjiza,,,
dr,Ana Nikolić,,,
dr,Ana Nikolov,,,
dr,Ana Pantić Marinković,specijalista radiologije,,
dr,Ana Pantić-Marinković,,,
dr,Ana Perišić,specijalista pedijatrije,,
dr,Ana Perućica,specijalista mikrobiolog,,
dr,Ana Petković,,,
dr,Ana Podgorac,psihijatar,,
dr,Ana Prica,,,
dr,Ana Pudar Purić,specijalizant opšte medicine,,
dr,Ana Ranković,specijalizant interne medicine u Nemačkoj,,
dr,Ana Ranković,radiolog,,Kragujevac
dr,Ana Santrač,specijalista radiologije,,
dr,Ana Šikić,specijalizant radiologije,,
dr,Ana Simijonović Vuković,,,
dr,Ana Škorić,neurolog,,
dr,Ana Stanojević,stomatolog,,
dr,Ana Stegić,,,
dr,Ana Tatić,anesteziolog,,
dr,Ana Tepavčević,,,
dr,Ana Udilović,,,
dr,Ana Ušćumlić,,,
dr,Ana Veljković Đorđević,psihijatar,,
dr,Ana Vilotijević,,,
dr,Ana Voinos,specijalista interne medicine ,,
dr,Ana Zečević,lekar,,
dr,Ana Živanović,,,
dr,Anamaria Simić-Milovanović,spec. Interne medicine,,
dr,Anastasija Anđelković,,,
dr,Anđa Despotović,anesteziolog,,
dr,Anđa Diriwaechter,lekar na specijalizaciji psihijatrije u Švajcarskoj,,
dr,Anđa Vukićević,spec. pedijatrije,,
dr,Anđela Gavrilović,,,
dr,Anđela Stojanović,,,
dr,Anđela Zečević,,,
dr,Anđelina Knežević,,,
dr,Anđelka Arsenijević,spec.urg.med.,,
dr,Anđelka Brdar,,,
dr. med sci.,Anđelka Isaković,,,
dr,Anđelka Kolarević,spec. psihijatrije,,
dr,Andrea Mladenović,,,
dr,Andrea Stoimenova,,,
dr,Andrea Švelja Babunski,doktor medicine,,
dr,Andrej Petreš,,,
dr,Andrej Zečević,klinički lekar,,
dr,Andreja Petelj Nešović,specijalista ginekologije i akušerstva,,
dr,Andrija Ćosić,maksilofacijalni hirurg,,
dr,Andrija Lazović,ortopedski hirurg,,
dr,Andrija Pavlović,specijalizant pedijatrije,,
Prim mr sc dr,Andrija Šrek,spec. pedijatrije,,
dr,Andrijana Aleksić,radiolog ,,
dr,Andrijana Cvijović,anesteziolog,,
dr,Andrijana Delić,,,
dr,Andrijana Glišić,ORL specijalizant IV godine,,
dr,Angelina Mihajlović,doktor medicine,,
dr,Angelina Mirković,,,
dr,Angelina Stevanović,kardiolog,,
dr,Anica Ćorović,,,
dr,Anica Pavlović,anesteziolog,,Skopljed
dr,Anica Šćepanović,specijalista opšte medicine u penziji,,
dr,Anita Grudić,,,
dr,Anita Hasani,pedijatar,,
dr,Anita Ivanović,,,
dr,Anita Milićević. ginekolog-akušer,,,
dr,Anita Vasić-Vlaisavljević,internista-endokrinolog,,
dr,Anja Cvjetković,,,
dr,Anja Lalić,,,
dr,Anja Mišović,,,
dr,Anja Pikula,,,
dr,Anka Bogosavljević,,,
dr,Anka Majstorović,internista,,
dr,Anka Vlatković,spec. transfuzijske medicine,,
dr,Antoaneta Jaredić,spec. oftalmologije,,
dr,Aris Movsesijan,doktor stomatologije,,
dr,Aurora Gaita,,,
dr,Barbara Damnjanović Pažin,specijalista ginekologije i akušerstva,,
dr,Biljana Anđelković,spec. radiologije,,
dr,Biljana Arsov,dermatovenerolog,,
dr,Biljana Blagojević-Nedaković,internista-kardiolog,,
dr,Biljana Dobrić,pedijatar,,
dr,Biljana Drašković Pavlović,,,
dr,Biljana Đurić Stojanović,,,
dr,Biljana Elek ,,,
dr,Biljana Gavrilović,,,
Prim. dr,Biljana Ilić,spec. opšte medicine,,
dr,Biljana Ivković,spec. ginekologije i akuserstva,,
dr,Biljana Jovandić,,,
dr,Biljana Jovanović,spec. radiologije,,
dr,Biljana Kuzmanović-Šolak,specijalista anesteziologije u penziji,,
dr,Biljana Lukić,,,
dr,Biljana Malenović,spec. oralne hirurgije,,
dr,Biljana Mandić,anesteziolog,,Čačak
dr,Biljana Marjanović,,,
dr,Biljana Marković,spec. radiologije,,
dr,Biljana Medar,,,
Docent dr,Biljana Milić,,,
Prof dr.,Biljana Miličić,,,
dr,Biljana Obradović - Tomašević,spec.interne medicine,,
dr,Biljana Orlić,spec. ortopedije vilice,,
dr,Biljana Pantić,specijalizant interne medicine,,
dr,Biljana Pantović,spec. opšte medicine,,
dr,Biljana Petrović,specijalista medicine rada,,Valjeno
dr,Biljana Počuča,spec. preventivne i dečje stomatologije,,
dr,Biljana Prokić,pedijatar - neonatolog,,
dr,Biljana Radosavljević,spec. dečje i preventivne stomatologije,,
dr,Biljana Raković,,,
dr,Biljana Samopjan Radović,,,
dr,Biljana Stanković,ortoped,,
dr,Biljana Stanković,pedijatar,,
dr,Biljana Stojčevski,kardiolog,,
dr,Biljana Stojić,spec. fizikalne medicine i rehabilitacije,,
dr,Biljana Trninić,dermatovenerolog,,
dr,Biljana Vasović Basaraba,,,
dr,Biljana Vojvodić,stomatolog,,
dr,Biljana Vučetić,stomatolog,,
dr,Biljana Vučetić,radiolog,,
dr,Biljana Vuković,,,
dr,Biljana Zakić,specijalizant ginekologije i akušerstva,,
dr,Biljana Životić,spec. transuzijske medicine,,
dr,Bisenija Radivojević,specijalista opšte medicine,,
dr,Bisera Čučulović,stomatolog,,
Prim. dr sci.,Biserka Vukmanović,,,
dr,Biserka Zlatković,specijalista medicine rada,,
dr,Blagoje Đukanović,hirurg,,
dr,Blažon Dragica,spec. opšte medicine u penziji,,
dr,Boban Jelčić,spec. ginekologije i akušerstva,,
dr,Boban Petrović,,,
dr,Boban Stepić,neurolog,,
dr,Boban Stojadinović,spec. radiologije,,
dr med. Msc. ,Bogdan Čanak,,,
Prim. dr,Bogdan Nikolić,specijalista Urgentne medicine,,Sombor
dr,Bogdana Ćika,specijalizant ginekologije i akušerstva,,
dr,Bogosav Filipović,anesteziolog,,
dr,Bojan Čegar,urolog,,
dr,Bojan Čučković,specijalizant anesteziologije,,
dr,Bojan Dereta,Specijalizant opšte medicine,,
dr,Bojan Dobrišerević,specijalista radiologije,,
dr,Bojan Jovanić,specijalista radiologije,,
dr,Bojan Kovačević,specijalizant abdominalne hirurgije,,
dr,Bojan Lazić,spec. medicine sporta,,
dr,Bojan Marković,spec. interne medicine - nefrolog,,
dr,Bojan Miladinov,spec. opšte hirurgije,,
dr,Bojan Milosavljević,,,
dr,Bojan Pavlović,spec. ginekolog akušer,,
dr,Bojan Perišić,spec. ORL,,
dr,Bojan Popadić,,,
dr,Bojan Ristic,,,
dr,Bojan Stopić,,,
dr,Bojan Stožinić,,,
dr,Bojan Vasilev,,,
dr,Bojan Vuković,internista,,
dr,Bojana Bašević,,,
dr,Bojana Bradaš Lazarević,,,
dr,Bojana Dačić Krnjaja,spec.oftalmologije,,
dr,Bojana Đurić Radoman,specijalizant anesteziologije i intenzivne medicine,,
dr,Bojana Janković,spec. opšte medicine,,
dr,Bojana Knežević,internista-reumatolog,,
dr,Bojana Marjanović,opšti stomatolog,,
Prof. dr,Bojana Matejić,,,
dr,Bojana Milošević,specijalizant anestezije i intenzivne medicine,,"Oldenburg, Nemacka"
dr,Bojana Mirković,urolog,,
dr,Bojana Orbović,,,
dr,Bojana Pavlović,ginekolog i akušer,,
dr,Bojana Pešić,,,
dr,Bojana Petrović,pedijatar,,
Ass. dr sci med,Bojana Popović,,,
dr,Bojana Radenković,anesteziolog,,
dr,Bojana Radošević,,,
dr,Bojana Rankov Petrović,specijalizant neurohirurgije,,
dr,Bojana Savić,lekar opšte medicine,,
dr,Bojana Sekulić Ćirović,,,
dr,Bojana Siriški,spec. interne medicine,,
dr,Bojana Sretenović,lekar na specijalizaciji iz psihijatrije,,
dr,Bojana Uzelac,specijalista urgentne medicine,,
dr,Bojana Vasković,,,
dr,Bojana Vraneš,,,
dr,Bojana Žica Vidović,spec. psihijatrije,,
dr,Bojana Živković,,,
dr,Bora Bjelica,,,
dr,Bora Cvetković,urolog,,
dr,Borica Đorđević,specijalista medicine rada u penziji,,Niš
dr,Boris Banović,opšti hirurg,,
dr,Boris Džudović,internista,,
dr,Boris Šarković,urolog,,
Prim. dr sci. ,Boris Vraneš,,,
klin. ass. dr,Boris Vukomanović,spec.ortopedije,,
dr,Boris Zekić,,,
Prof.dr,Borisav Janković,specijalista pedijatar-neonatolog. Redovni profesor Univerziteta u Beogradu,,
dr,Borislav Antonijević,spec. ginekologije i akušerstva,,
dr,Borislav Miketić,anesteziolog u penziji,,
dr,Borislav Rašović,,,Kraljevo
dr,Borislava Stolić,doktor stomatologije,,
dr,Borivoje A. Karadžić,spec. opšte hirurgije,,
dr,Borivoje Petrović,doktor stomatologije,,
dr,Bosiljka Aleksić,pedijatar,,
Prof. dr,Bosiljka Đikanović,,,
dr,Boško Ivanović,spec. ortopedije vilica,,
dr,Boško Radovanović,spec. radiologije,,
dr,Božana Antonić,doktor stomatologije,,
dr,Božica Suzić Todorović,spec. fizikalne med. i rehabilitacije,,
dr,Božidar Belanović,,,
dr,Božidar Đorđević,doktor stomatologije,,
dr,Božidar Petrović,specijalista pedijatrije,,
dr,Branimir Kovačević,,,
dr,Branimir Nešković,specijalista opšte hirurgije,,
dr,Branimir Obradović,specijalista higijene,,
dr,Branislav Andrić,internista-nefrolog,,
dr,Branislav Bojić,kardiolog,,
dr,Branislav Brcanski,ginekolog-akušer,,
Prof. dr sc. med,Branislav Đurović,specijalista oftalmolog,,
dr,Branislav Ignjatov,spec.med.rada u penziji,,
dr,Branislav Lukić,,,
dr,Branislav Pavlović,stomatolog,,
dr,Branislav Trifunović,,,
Prim. dr,Branislav Vasiljević,ORL,,
dr,Branislava Marjanović,spec. ginekologije i akušerstva,,
Prim. dr sci.med.,Branislava Matić,spec. higijene,IJZS Batut,Beograd
dr,Branislava Mrjanović,spec. ginekologije i akušerstva,,
Prof. dr,Branislava Savić,specijalista mikrobiologije sa parazpitologijom,,
dr,Branislava Stanojlović,spec. radiologije,,
dr,Branislava Terzić Vuković,spec. psihijatrije,,
dr,Branislava Žanić Madžarević,,,
dr sci. med. dr,Branka Bacotić,ginekolog-akušer,,
dr,Branka Barašin,spec. fizikalne medicine i rehabilitacije,,
dr,Branka Blagojević,pedijatar,,Beograd
dr,Branka Bojović,,,
dr,Branka Bučanović,,,
dr,Branka Čemerikić,,,
dr,Branka Ćurčić,spec. radiologije,,
dr,Branka Gađanski,spec pedijatrije,,
Prim. dr,Branka Jovanović,,,
dr,Branka Katić,oftalmolog,,
prim. dr sc. med.,Branka Kovačević,,,
dr,Branka Mirković,,,
dr,Branka Mrković,oftalmolog,,
dr,Branka Nenadić,spec. pedijatrije,,
dr,Branka Ostojić,,,
dr,Branka Petrović,,,
dr,Branka Popović,,,
dr,Branka Radojković,volonterski specijalizant,,
dr,Branka Remetic,,,
dr,Branka Romandić,pedijatar,,Čačak
Prof. dr,Branka Stamatović-Gajić,psihijatar psihoterapeut,,
Doc. dr,Branka Trifković,,,
dr,Brankica Panić,pedijatar,,
dr,Brankica Romandić,pedijatar,,
dr,Brankica Skakavac,,,
dr,Brankica Terzić,,,
Prof. dr,Branko Brmbolić,infektolog i gastroenterohepatolog,redovni profesor Medicinskog fakulteta u penziji,
dr,Branko Jevtović,urolog,,
dr,Branko Mađanović,stomatolog,,
dr,Branko Mandić,psihijatar,,
dr,Branko Nešković,,,
dr,Branko Radičević,internista,,
dr,Branko Sbutega,,,
Mr sc. med. ,Branko Stefanović,spec. ortopedije,,
dr,Branko Subotić,,,
dr,Bratislav Milosavljević,,,
dr,Bratislav Stojanović,stomatolog,,
Prof. dr sc. med. ,Bratislav Trifunović,opšti hirurg - onkolog,,
dr,Bratislava Nikitović,,,
dr spec.,Bruno Fekete,,,
Prim. dr,Časlav Lazović,,,
dr,Čedo Miljević,,,
Prim. dr,Čedo Vučković,,,
dr,Čedomir Lazović,,,
dr,Čedomir Milošević,,,
Prof. dr,Čedomir Vučetić,spec. ortopedske hirurgije i traumatologije,,
dr,Cvetana Crnobarić,psihijatar,,
dr,Dado Medić,,,
dr,Dalibor Ilić,radiolog,,
Ass. dr,Damir Jašarović,opšti hirurg,,
dr,Damljan Bogićević,,,
Puk. Doc. dr,Dane B. Nenadic,ginekolog-akušer,,
dr,Danica Cvetković,klinički farmakolog,,
dr,Danica Marković,spec.fizikalne med. i rehabilitacije,,
dr,Danica Milošević,,,
dr,Danica Mirković,spec. stom. protetike,,
dr,Danica Novaković,spec. oralne hirurgije,,
dr,Danica Simić,lekar kućnog lečenja,,
dr,Danica Srnić,internista-kardiolog i klinički toksikolog u penziji,,
dr,Danica Žigmund,spec. neuropsihijatrije,,
dr,Daniela Donat,,,
dr,Daniela Petrović Beljić,spec. opšte medicine,,
dr,Danijel Đokić,,,
dr,Danijel Raspopović,spec. ortopedije,,
dr,Danijel Trajković,oftalmolog,,
dr,Danijela Aleksov-Damnjanović,Spec.fizikalne medicine i rehabilitacije,,
dr,Danijela Balaban,,,
dr,Danijela Bolović Živojinović,,,
dr,Danijela Božović,anesteziolog,,
dr,Danijela Brković,specijalista psihijatrije,,
dr,Danijela Čolović,spec. kliničke biohemije,,
dr,Danijela Gavrilović,radiolog,,
dr,Danijela Lisica - Lazin,,,
dr,Danijela Luković,"spec. psihijatrije, psihoterapeut",,
dr,Danijela Marić,spec. pedijatrije,,
dr,Danijela Milčić,,,
dr,Danijela Minić,spec. opšte medicine,,
dr,Danijela Momčilović-Živković,spec. interne medicine,,
dr,Danijela Ninić-Marinković,specijalizant urgentne medicine,,
dr,Danijela Pavlović,,,Berlin
dr,Danijela Popović,anesteziolog,,
dr,Danijela Radović,specijalista anesteziologije sa reanimatologijom,,
Prim dr,Danijela Stanković,spec. anesteziolog-reanimatolog,,
dr,Danilo Pešić,psihijatar,,
Prof. dr,Danilo Vojvodić,imunolog,,
dr,Danilo Vukčević,stažista,,
dr,Danilo Zdravković,specijalista medicinske mikrobiologije,,
dr,Danka Nikolić-Šokota,lekar opšte prakse,,
dr,Danka Živanović,,,
dr,Darija Kraljik,dr stomatologije,,
dr,Darija Šarčević,,,
dr,Darija Zlonoga,spec. interne medicine,,
dr,Darinka Teofilović,,,
dr,Darjana Velikić,anesteziolog,,
dr,Darko Bajec,,,
dr,Darko Blagojević,,,
dr,Darko Dožić,spec. otorinolaringolog i maksilofacijalni hirurg,,
dr,Darko M. Tasić,spec.ortopedije i traumatologije,,
dr,Darko Marković,internista,,
dr,David Martinović,,,
dr,Davor Drača,,,
dr,Davor Mirčetić,,,
dr,Davor Mrda,specijalista radiologije,,
dr,Deana Mitrović,spec radiolog,,
dr,Dejan Akerman,spec. radiologije,,
dr,Dejan Babarogić,,,
dr,Dejan Bisenić,,,
dr,Dejan Ćalasan,specijalista oralne hirurgije,,
Prof. dr,Dejan Ćelić,nefrolog,,
dr,Dejan Ćesarević,hirurg,,
dr,Dejan Dinić,,,
dr,Dejan Grozdanović,stomatolog,,
dr,Dejan Hristov,internista,,
dr,Dejan Ilić,,,
dr,Dejan Kurtović,,,
dr,Dejan Lazović,spec. kardiohirurgije,,
Prim. dr,Dejan Maletić,spec. ginekologije i akušerstva,,
dr,Dejan Matović,specijalista psihijatrije,,
dr,Dejan Milenković,doktor medicine,,
dr,Dejan Mirić,,,
Doc dr,Dejan Mitić,,,Niš
dr,Dejan Obradović,,,
dr,Dejan Pilčević,nefrolog,,Beograd
dr,Dejan Rančić,,,
Prim mr sci. med. dr,Dejan Ristić,ortoped,,
dr,Dejan Simić,urolog,,
dr,Dejan Stajčić,doktor stomatologije,,
Prof. dr,Dejan Stojakov,hirurg,,Beograd
dr,Dejan Stojković,grudni hirurg,,
dr,Dejan Todorović,psihijatar,,
dr,Dejan Vojinović,internista u penziji,,
dr,Dejana Božić,patolog,,
Prof. dr,Dejana Vuković,,,
dr,Delalle Eva,stomatolog,,
dr,Desanka Mršić,pedijatar,,
dr,Desanka Obućina,spec. medicine rada u penziji,,
dr,Dijana Dojčinović,stomatolog,,
dr,Dimitrije Đurđević,,,
dr sci. med,Dimitrije Jakovljević,lekar specijalista iz dijaspore,,
dr,Dimitrije Jovanović,kardiolog,,Leskovac
dr,Dimitrije Mitov,,,
Prof. dr,Dimitrije Nikolić,pedijatar,,
dr,Dimitrije Nikolić,doktor medicine,,
dr,Dina Stamenović,spec. mikrobiologije sa parazitologijom,,
dr,Divna Simović Šiljković,na specijalizaciji iz opšte medicine,,Gornji Milanovac
dr,Dobrila Vićentijević,doktor stomatologije,,
dr,Dobrivoje Antić,"Niš, specijalista anesteziologije i reanimatologije u penziji",,
dr,Dobrivoje Divčić,doktor stomatologije,,
dr,Donata Knežević,,,
dr,Đorđe Aleksić,urolog,,
dr,Đorđe Antonijević,stomatolog,,
dr,Đorđe Ćurčić,,,
dr,Đorđe Filipović,,,
dr,Đorđe Jakulić,,,
dr,Đorđe Jeftović,infektolog,,
Prof. dr,Đorđe Jevtović,infektolog,,
dr,Đorđe Jevtović,spec. ORL,,
dr,Đorđe Krstić,lekar na volonterskoj specijalizaciji iz dermatovenerologije,,
dr,Đorđe Letić,"specijalista fizikalne medicine i rehabilitacije, Novi Sad",,
Akad. spec dr,Đorđe Miketić,oralni implantolog,,
dr,Đorđe Milić,,,
dr,Đorđe Nedeljkov,,,
dr,Đorđe Nešović,,,
dr,Đorđe Radumilo,,,
doc. dr,Đorđe S.Popović,internista,,
dr stom.,Đorđe Simić,spec. oralne hirurgije,,
dr,Đorđe Tomić,ORL,,
dr,Đorđe Totošković,specijalista neurologije,,
dr,Đorđe Vasiljević,ortoped traumatolog,,
dr,Đorđe Vučković,specijalista psihijatrije,,
dr,Đorđe Zdravkov,,,
dr,dr Boris Čehov,,,
dr,dr Dragica Stanojlović,neuropsihijatar,,
dr,Dr Ognjen Marković,,,
klin.ass.dr sci.med.,Dragan Basarić,spec. opšte i digestivne hirurgije,,
dr,Dragan Branković,anesteziolog,,
dr,Dragan Damjanović,hirurg onkolog,,
dr,Dragan Dinić,specijalista urgentne medicine,,Prokuplje
dr,Dragan Djurović,spec. opšte hirurgije,,
dr,Dragan Graovac,anesteziolog,,
mr sc. stom. dr,Dragan Grujić,specijalista oralne hirurgije,,
dr,Dragan Gunjić,spec. opšte hirurgije,,
Puk. u penziji,Dragan Joksović,prof. Interne medicine i kliničke toksikologije,,
dr,Dragan Katanić,spec. opš. stomatologije,,
dr,Dragan Kojić,spec. ginekolog-akušer,,
dr,Dragan Marinković,specijalista anesteziologije sa reanimatologijom,,
Prim. dr,Dragan Marinković,neuropsihijatar,,
dr,Dragan Martinović,oftalmolog,,
dr,Dragan Matić,ortoped,,
dr,Dragan Miletić,specijalista ortopedije vilica,,
dr med sci,Dragan Mitrović,neuropsihijatar,,
dr,Dragan N.Petrović,specijalista medicine rada,,
dr,Dragan Nikolić,anesteziolog,,
dr,Dragan Petrović,specijalista medicine rada,,Ljubovija
dr,Dragan Popović,spec. ginekologije i akušerstva,,
dr,Dragan Prokić,pedijatar - gastroenterolog,,
dr,Dragan Pupić,ginekolog,,Norveška
dr,Dragan Radojević,spec.med.sporta,,
dr med. ,Dragan Risović,Kruševac,,
dr sci. med. ,Dragan Savić,neurohirurg,,
dr,Dragan Stojadinović,dečji hirurg,,
dr,Dragan Stojanović,,,
Prim dr,Dragan Stojšić,internista endokrinolog,,Sombor
dr,Dragan Topić,,,
Prof. dr,Dragan Vučović,anesteziolog,,
dr,Dragana Arsić,neuropsihijatar,,
dr,Dragana Bajić,spec. anesteziologije sa reanimatologijom,,
dr,Dragana Baroš,,,
dr,Dragana Cvetković,,,
dr,Dragana D. Konjikušic,spec. fizikalne medicine i rehabilitacije,,
dr,Dragana Divljak,anesteziolog,,
dr,Dragana Favre,spec. psihijatrije i psihoterapije,,
dr,Dragana Gajić,,,
dr,Dragana Grbić,specijalista socijalne medicine,,
dr,Dragana Grebenarović,specijalista medicine rada,,
dr,Dragana Gredić,specijalista opšte medicine,,
dr,Dragana Grubiša Mihajlović,spec. oftalmologije,,
dr,Dragana Ivković,spec.fizijatar; subspecijalista baromedicine,,
dr,Dragana Jadžić,,,
dr,Dragana Janković,spec. anesteziologije i reanimatologije,,Bor
dr,Dragana Jeličić,spec. oralne hirurgije,,
Prof. dr,Dragana Jovanović,,,
dr,Dragana Jovanović,specijalista socijalne medicine,,
dr,Dragana Kablar,dermatolog,,
dr,Dragana Katunac,spec. urgentne medicine,,
dr,Dragana Kazandžić-Galun,,,
dr,Dragana Kovačević,,,
dr,Dragana Kukić,,,
dr,Dragana Lekić,anesteziolog,,
dr,Dragana Marinković,specijalista ortopedije vilica,,
dr,Dragana Marković,,,
dr,Dragana Martinović,anesteziolog,,
dr,Dragana Mijač,,,
dr,Dragana Milković,spec. ginekologije i akušerstva,,
